platform,store_id,product_id,canonical_asin,attached_product_ids,product_name,product_url,review_id,review_type,author,title,content,rating,helpful_votes,verified,published_at,collected_at,variant,review_country,tags,size_verdict,theme_ids,ontology_version,analysis_version
amazon,,B0D9YB29BY,B0D9YB29BY,B0D9YB29BY,"CLOSEMATE Mens Dress Crew Socks 6 Pairs | Soft breathable cotton stretch in classic solid colors for suits, office wear and leather shoes and thoughtful gifting",https://www.amazon.com/dp/B0D9W7MW95,R101L5041JDDQK,review,True Reviews,Cotton dress socks,"The CLOSEMATE Men's Classic Solid & Patterned Dress Crew Socks come in a pack of six pairs, offering both solid and patterned designs to suit various styles. Made from a blend of 80% combed cotton, 15% polyester, and 5% spandex, these socks provide a balance of softness, breathability, and elasticity. The combed cotton enhances durability and gives the socks a smooth texture, making them comfortable for all-day wear. The inclusion of polyester and spandex ensures a snug fit that maintains its shape after multiple washes. Designed to sit at the calf without slipping, these socks are suitable for both formal and casual occasions. The reinforced heel and toe areas add to their longevity, making them a reliable choice for daily use.",5.00,1,,2025-04-03T00:00:00Z,2026-09-03T10:36:34Z,size=9-12; color=2black 2navyblue 2darkgrey; number_of_items=6,the United States,cotton; dress socks,,1,unsup_v1,v1
amazon,,B0CZ6HHY2J,B0CZ6HHY2J,B0CZ6HHY2J,"CLOSEMATE Mens Ultra-Low No Show Socks 6 Pairs | Low-cut invisible socks with breathable mesh, soft stretch cotton, non-slip grips and a stay put fit for loafers",https://www.amazon.com/dp/B0GTPVHXM2,R101M0CO742D94,review,Bees M.,Comfortable socks that keep shoes dry and less smelly,"Sometimes you want to put on shoes without socks because of the casual look, but you know it's a bad idea. Feet get sweaty, which leads to odors and friction, not to get too personal. These low cut socks are comfortable enough to wear in my shoes, and solve those problems. Very satisfied.",5.00,,,2024-06-07T00:00:00Z,2026-09-03T11:03:53Z,size=6-9; color=3black3white,the United States,comfortable; low cut socks; comfortable socks; feet,,0,unsup_v1,v1
amazon,,B0DDQ4ZPM3,B0DDQ4ZPM3,B0DDQ4ZPM3,"CLOSEMATE Boot Socks for Women Thick Warm Winter Crew Socks 3 Pairs | Thermal crew socks with full cushioning, cozy comfort for boots, hiking, home & gift for women",https://www.amazon.com/dp/B0DDQ4ZPM3,R101P2YXJB1OLH,review,Julian M,Incredibly warm and comfortable; the ultimate winter boot socks,"These CLOSEMATE winter boots socks are an absolute lifesaver during the cold months; they are incredibly thick, warm, and provide exceptional cushioning. The thermal material is very high quality and does a fantastic job of keeping my feet cozy even in freezing temperatures; they fit perfectly without being too tight or sliding down. I love the variety of colors in the 3-pair pack and they have held up remarkably well after several washes; they are durable and the full-cushioned design makes them comfortable for all-day wear. They are the perfect gift for anyone who spends time outdoors in the winter; it is a top-tier product that delivers both style and extreme comfort.",5.00,,t,2026-04-24T00:00:00Z,2026-08-07T08:17:41Z,,,,偏小,,unsup_v1,v1
amazon,,B0DRFBVJ2H,B0DRFBVJ2H,B0DRFBVJ2H,CLOSEMATE Womens Comfortable Seamless Bras No Underwire V Neck Buttery Soft Push Up Wireless Bralettes for Tshirt,https://www.amazon.com/dp/B0DK79CPXL,R101YO6V1FCNS6,review,Mari T,Que no tiene aros y te da libertad,Si es cómodo,,,t,2025-10-08T00:00:00Z,2026-08-12T04:39:32Z,,Spain,cómodo,,0,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0GGR52N97,B0GGR52N97,B0GGR52N97,"CLOSEMATE Men's No Show Socks Cotton Non Slip Heel Grip Low Cut 6 Pairs | Invisible design with mesh knit, seamless toe comfort for sneakers, casual shoes & daily wear",https://www.amazon.com/dp/B08DCY95YP,R102YZO7N1R8E,review,Tester-Mami,Passt am besten Größe 37 oder 38,Gute Socken. Aber sehr dünn und eher für kleinere Füße bis maximal 40 oder 41 geeignet. Am besten hätte ich gesagt passen sie jemandem mit 37 oder 38.,,,,2021-04-29T00:00:00Z,2026-08-11T03:09:08Z,size=9-12; color=6white,Germany,,,,unsup_v1,v1
amazon,,B0D5HHHSCW,B0D5HHHSCW,B0D5HHHSCW,"CLOSEMATE Bamboo Viscose Thin Ankle Socks for Men Women Non Slip 6 Pairs | Low Cut Fit, Lightweight & Breathable, Soft & Skin-Friendly for Casual, Work, Commuting",https://www.amazon.com/dp/B0DP24GKL5,R1030T1HVLLMLS,review,Ed Brewster,Comfort,Great product,4.00,,t,2026-03-08T00:00:00Z,2026-08-11T13:07:24Z,size=12-15; color=6plainwhite,the United States,comfort,,1,unsup_v1,v1
amazon,,B0CBTY2V7Q,B0CBTY2V7Q,B0CBTY2V7Q,"CLOSEMATE 6 Pairs Mens Athletic Ankle Socks Cushioned Running Quarter Socks | Cotton socks with breathable mesh, terry cushion & secure fit for sports, sneakers& daily wear",https://www.amazon.com/dp/B0CBMKG56H,R104HVOJ0N4STS,review,Wayne Arthur Perg,Comfy but too small,These are definitely not sized right. I have US mens size 11 feet and ordered the mens large. These while they do stretch to my foot are tight. They would be comfy if they were a little larger as there is minimal seam on the inside of the sock. Overall if you have smaller feet and order a size up these should be good.,3.00,1,,2024-06-10T00:00:00Z,2026-08-10T11:37:45Z,,the United States,tight; comfy; size; small; feet; foot,偏小,1;2;3,unsup_v1,v1
amazon,,B0DHV87RK4,B0DHV87RK4,B0DHV87RK4,"CLOSEMATE Mens Winter Thermal Crew Socks | Thick Merino wool socks with cushioned comfort, moisture wicking & arch support for hiking, outdoor, work & winter,3 Pairs",https://www.amazon.com/dp/B0DG91Q1HS,R104M4EPNJKAZ3,review,てんろ,サイズ、27センチでMでジャスト,全体的によし。 締め付けは強め。 匂いはおさえられ、 少しあつめ,,,t,2025-04-15T00:00:00Z,2026-08-11T12:47:36Z,size=6-9; color=3black,Japan,,,,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0G2XX1W3Q,B0G2XX1W3Q,B0G2XX1W3Q,"CLOSEMATE 6 Pairs Athletic Ankle Socks for Women Soft Cotton Cushioned | Breathable non slip design with soft comfort for running, gym, sneakers & daily wear",https://www.amazon.com/dp/B0F6CPDJLT,R104N1M70N09H0,review,Kellie,Soft and comfie,Really good quality socks,,,t,2026-01-05T00:00:00Z,2026-09-02T11:49:56Z,size=8-11; color=6whitegrey,Australia,,,,unsup_v1,v1
amazon,,B0DHV87RK4,B0DHV87RK4,B0DHV87RK4,"CLOSEMATE Mens Winter Thermal Crew Socks | Thick Merino wool socks with cushioned comfort, moisture wicking & arch support for hiking, outdoor, work & winter,3 Pairs",https://www.amazon.com/dp/B0DG91Q1HS,R105IFUXL64LSL,review,Bryan Bourton,Real quality,Quality hiking sock very comfortable and warm the finish on the sock both in and out is really well finished on the inside no straggly bits of cotton which I’ve found on much more expensive brand names I’ve also bought their low cut sport socks lots of great colours and as equally well made a highly recommended brand,5.00,,t,2025-09-21T00:00:00Z,2026-08-07T08:17:41Z,,,comfortable; warm; quality,,0;1,unsup_v1,v1
