platform,store_id,product_id,canonical_asin,attached_product_ids,product_name,product_url,review_id,review_type,author,title,content,rating,helpful_votes,verified,published_at,collected_at,variant,review_country,tags,size_verdict,theme_ids,ontology_version,analysis_version
amazon,,B0D9YB29BY,B0D9YB29BY,B0D9YB29BY,"CLOSEMATE Mens Dress Crew Socks 6 Pairs | Soft breathable cotton stretch in classic solid colors for suits, office wear and leather shoes and thoughtful gifting",https://www.amazon.com/dp/B0D9W7MW95,R101L5041JDDQK,review,True Reviews,Cotton dress socks,"The CLOSEMATE Men's Classic Solid & Patterned Dress Crew Socks come in a pack of six pairs, offering both solid and patterned designs to suit various styles. Made from a blend of 80% combed cotton, 15% polyester, and 5% spandex, these socks provide a balance of softness, breathability, and elasticity. The combed cotton enhances durability and gives the socks a smooth texture, making them comfortable for all-day wear. The inclusion of polyester and spandex ensures a snug fit that maintains its shape after multiple washes. Designed to sit at the calf without slipping, these socks are suitable for both formal and casual occasions. The reinforced heel and toe areas add to their longevity, making them a reliable choice for daily use.",5,1,,2025-04-03T00:00:00Z,2026-09-03T10:36:34Z,size=9-12; color=2black 2navyblue 2darkgrey; number_of_items=6,the United States,cotton; dress socks,,1,unsup_v1,v1
amazon,,B0CZ6HHY2J,B0CZ6HHY2J,B0CZ6HHY2J,"CLOSEMATE Mens Ultra-Low No Show Socks 6 Pairs | Low-cut invisible socks with breathable mesh, soft stretch cotton, non-slip grips and a stay put fit for loafers",https://www.amazon.com/dp/B0GTPVHXM2,R101M0CO742D94,review,Bees M.,Comfortable socks that keep shoes dry and less smelly,"Sometimes you want to put on shoes without socks because of the casual look, but you know it's a bad idea. Feet get sweaty, which leads to odors and friction, not to get too personal. These low cut socks are comfortable enough to wear in my shoes, and solve those problems. Very satisfied.",5,,,2024-06-07T00:00:00Z,2026-09-03T11:03:53Z,size=6-9; color=3black3white,the United States,comfortable; low cut socks; comfortable socks; feet,,0,unsup_v1,v1
amazon,,B0D5HHHSCW,B0D5HHHSCW,B0D5HHHSCW,"CLOSEMATE Bamboo Viscose Thin Ankle Socks for Men Women Non Slip 6 Pairs | Low Cut Fit, Lightweight & Breathable, Soft & Skin-Friendly for Casual, Work, Commuting",https://www.amazon.com/dp/B0DP24GKL5,R1030T1HVLLMLS,review,Ed Brewster,Comfort,Great product,4,,t,2026-03-08T00:00:00Z,2026-08-11T13:07:24Z,size=12-15; color=6plainwhite,the United States,comfort,,1,unsup_v1,v1
amazon,,B0CBTY2V7Q,B0CBTY2V7Q,B0CBTY2V7Q,"CLOSEMATE 6 Pairs Mens Athletic Ankle Socks Cushioned Running Quarter Socks | Cotton socks with breathable mesh, terry cushion & secure fit for sports, sneakers& daily wear",https://www.amazon.com/dp/B0CBMKG56H,R104HVOJ0N4STS,review,Wayne Arthur Perg,Comfy but too small,These are definitely not sized right. I have US mens size 11 feet and ordered the mens large. These while they do stretch to my foot are tight. They would be comfy if they were a little larger as there is minimal seam on the inside of the sock. Overall if you have smaller feet and order a size up these should be good.,3,1,,2024-06-10T00:00:00Z,2026-08-10T11:37:45Z,,the United States,tight; comfy; size; small; feet; foot,偏小,1;2;3,unsup_v1,v1
amazon,,B0CBTY2V7Q,B0CBTY2V7Q,B0CBTY2V7Q,"CLOSEMATE 6 Pairs Mens Athletic Ankle Socks Cushioned Running Quarter Socks | Cotton socks with breathable mesh, terry cushion & secure fit for sports, sneakers& daily wear",https://www.amazon.com/dp/B0CBMKG56H,R106VJ1E9C6UWD,review,ESMOND A.,great price,"great sock, right fit",4,,t,2024-10-21T00:00:00Z,2026-08-10T11:37:45Z,size=12-15; color=6white,the United States,fit,准确,2;3,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0D3X3Q27Z,B0D3X3Q27Z,B0D3X3Q27Z,"CLOSEMATE Mens Athletic Crew Socks Moisture Wicking Cushioned 6 Pairs | Breathable cotton socks with soft cushioning for running, hiking, boots & outdoor sports",https://www.amazon.com/dp/B0CJ2RJ5CC,R108Y9UJSXZRF7,review,Mircea Panait,Good fit,Nice material,5,,t,2025-12-04T00:00:00Z,2026-08-11T01:44:34Z,size=9-12; color=6 White,the United States,fit; good fit,准确,1,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B08K8NJ9JK,B08K8NJ9JK,B08K8NJ9JK,CLOSEMATE Mens No Show Socks Thin Cotton Non Slip High Elasticity 6 Pairs,https://www.amazon.com/dp/B07VC34JNK,R1091GS9KO0VDE,review,スバルフォレスタ,wont buy again,"cheap material, almost see through, bought a bigger size and they still look small, deff wont buy again",1,,t,2024-11-09T00:00:00Z,2026-08-26T15:46:40Z,size=9-12; color=6black,the United States,cheap; material; small; size,,0;1;3,unsup_v1,v1
amazon,,B0D5HHHSCW,B0D5HHHSCW,B0D5HHHSCW,"CLOSEMATE Bamboo Viscose Thin Ankle Socks for Men Women Non Slip 6 Pairs | Low Cut Fit, Lightweight & Breathable, Soft & Skin-Friendly for Casual, Work, Commuting",https://www.amazon.com/dp/B0DP24GKL5,R109TLSVPS5KEZ,review,Amazon Customer,Very Thin!,"The quality of the socks are fine, but they are very thin. If you like a thin sock, these socks are for you. If you like a little cushion or thickness to your sock, they are probably not for you.",3,2,t,2025-10-11T00:00:00Z,2026-08-11T13:07:24Z,size=9-12; color=6plainwhite,the United States,quality,,1,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0CF53N193,B0CF53N193,B0CF53N193,"CLOSEMATE Mens Ankle Athletic Socks Cushioned Anti-Blister Low cut 6 pairs | Soft combed cotton socks, padded soles & arch support for running daily wear",https://www.amazon.com/dp/B09W34TYZ5,R10AV6X4Y8Y21S,review,er90,Good quality,"Nice, thick sock. Seems to be holding up through several washes already.",5,,t,2025-11-20T00:00:00Z,2026-08-11T23:35:35Z,size=9-12; color=6 White,the United States,quality; good quality,,0;1,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0GGR52N97,B0GGR52N97,B0GGR52N97,"CLOSEMATE Men's No Show Socks Cotton Non Slip Heel Grip Low Cut 6 Pairs | Invisible design with mesh knit, seamless toe comfort for sneakers, casual shoes & daily wear",https://www.amazon.com/dp/B08DCY95YP,R10B0WAE663W37,review,Mack Layl,Just not happy with them,I don’t like the material and I wish there was less material for no show and they didn’t stay on my heel,1,,t,2023-01-23T00:00:00Z,2026-08-11T03:09:13Z,size=6-9; color=6black,the United States,heel,,2,unsup_v1,v1
amazon,A3UITLIH0G45Q9,B0GGR52N97,B0GGR52N97,B0GGR52N97,"CLOSEMATE Men's No Show Socks Cotton Non Slip Heel Grip Low Cut 6 Pairs | Invisible design with mesh knit, seamless toe comfort for sneakers, casual shoes & daily wear",https://www.amazon.com/dp/B08DCY95YP,R10B8QMNUKY1H7,review,BWW i8 Guy,Quality,Good quality,5,,t,2026-07-26T00:00:00Z,2026-08-19T19:50:41Z,size=9-12; color=6white,the United States,quality; good quality,,1,unsup_v1,v1
